,Model,Displ,Cyl,Trans,Drive,Fuel,Stnd,Underhood_ID,Veh_Class,Air_Pollution_Score,City_MPG,Hwy_MPG,Cmb_MPG,Greenhouse_Gas_Score
0,ACURA MDX,3.7,6,Auto-S5,4WD,Gasoline,U2,8HNXT03.7PKR,SUV,7.0,15.0,20.0,17.0,4.0
1,ACURA RDX,2.3,4,Auto-S5,4WD,Gasoline,U2,8HNXT02.3DKR,SUV,7.0,17.0,22.0,19.0,5.0
2,ACURA RL,3.5,6,Auto-S5,4WD,Gasoline,U2,8HNXV03.5HKR,midsize car,7.0,16.0,24.0,19.0,5.0
3,ACURA TL,3.2,6,Auto-S5,2WD,Gasoline,U2,8HNXV03.5HKR,midsize car,7.0,18.0,26.0,21.0,6.0
4,ACURA TL,3.5,6,Auto-S5,2WD,Gasoline,U2,8HNXV03.5RKR,midsize car,7.0,17.0,26.0,20.0,6.0
5,ACURA TL,3.5,6,Man-6,2WD,Gasoline,U2,8HNXV03.5RKR,midsize car,7.0,18.0,27.0,21.0,6.0
6,ACURA TSX,2.4,4,Man-6,2WD,Gasoline,L2,8HNXV02.4FKC,small car,6.0,19.0,28.0,22.0,6.0
7,ACURA TSX,2.4,4,Auto-S5,2WD,Gasoline,L2,8HNXV02.4FKC,small car,6.0,20.0,28.0,23.0,7.0
8,ASTON MARTIN DB9,5.9,12,Man-6,2WD,Gasoline,L2,8ASXV05.9803,small car,6.0,10.0,16.0,12.0,0.0
9,ASTON MARTIN DB9,5.9,12,Auto-S6,2WD,Gasoline,L2,8ASXV05.9803,small car,6.0,11.0,18.0,13.0,1.0
10,ASTON MARTIN DB9 Volante,5.9,12,Man-6,2WD,Gasoline,L2,8ASXV05.9803,small car,6.0,10.0,16.0,12.0,0.0
11,ASTON MARTIN DB9 Volante,5.9,12,Auto-S6,2WD,Gasoline,L2,8ASXV05.9803,small car,6.0,11.0,17.0,13.0,1.0
12,ASTON MARTIN V8 Vantage,4.3,8,Man-6,2WD,Gasoline,L2,8ASXV04.3305,small car,6.0,12.0,19.0,15.0,3.0
13,ASTON MARTIN V8 Vantage,4.3,8,Auto-S6,2WD,Gasoline,L2,8ASXV04.3305,small car,6.0,13.0,20.0,15.0,3.0
14,AUDI A3,2.0,4,Man-6,2WD,Gasoline,U2,8ADXV02.0366,station wagon,7.0,21.0,29.0,24.0,7.0
15,AUDI A3,2.0,4,Auto-S6,2WD,Gasoline,U2,8ADXV02.0366,station wagon,7.0,22.0,29.0,25.0,7.0
16,AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,L2,8VWXV03.2535,station wagon,6.0,18.0,25.0,21.0,6.0
17,AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,U2,8ADXV02.0352,small car,7.0,21.0,30.0,24.0,7.0
18,AUDI A4,3.1,6,Man-6,4WD,Gasoline,L2,8ADXV03.1374,small car,6.0,15.0,25.0,19.0,5.0
19,AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,L2,8ADXV03.1374,small car,6.0,17.0,25.0,20.0,6.0
20,AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,L2,8ADXV03.1374,small car,6.0,18.0,27.0,21.0,6.0
21,AUDI A4 Avant,3.1,6,Man-6,4WD,Gasoline,L2,8ADXV03.1374,station wagon,6.0,15.0,25.0,19.0,5.0
22,AUDI A4 Avant,3.1,6,Auto-S6,4WD,Gasoline,L2,8ADXV03.1374,station wagon,6.0,17.0,25.0,20.0,6.0
23,AUDI A4 Cabriolet,3.1,6,Auto-S6,4WD,Gasoline,L2,8ADXV03.1374,small car,6.0,17.0,25.0,20.0,6.0
24,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,L2,8ADXV03.1374,midsize car,6.0,17.0,25.0,20.0,6.0
25,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,L2,8ADXV03.1374,midsize car,6.0,18.0,27.0,21.0,6.0
26,AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXV04.2365,midsize car,6.0,16.0,23.0,18.0,5.0
27,AUDI A6 Avant,3.1,6,Auto-S6,4WD,Gasoline,L2,8ADXV03.1374,station wagon,6.0,17.0,25.0,20.0,6.0
28,AUDI A8,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXV04.2365,midsize car,6.0,16.0,23.0,18.0,5.0
29,AUDI A8 L,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXV04.2365,large car,6.0,16.0,23.0,18.0,5.0
30,AUDI A8 L,6.0,12,Auto-S6,4WD,Gasoline,L2,8ADXV06.0359,large car,6.0,13.0,19.0,15.0,3.0
31,AUDI Q7,3.6,6,Auto-S6,4WD,Gasoline,L2,8VWXT03.6276,SUV,6.0,14.0,20.0,16.0,4.0
32,AUDI Q7,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXT04.2358,SUV,6.0,12.0,17.0,14.0,2.0
33,AUDI R8,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXV04.2375,small car,6.0,13.0,19.0,15.0,3.0
34,AUDI R8,4.2,8,Man-6,4WD,Gasoline,L2,8ADXV04.2375,small car,6.0,13.0,20.0,15.0,3.0
35,AUDI RS4,4.2,8,Man-6,4WD,Gasoline,L2,8ADXV04.2375,small car,6.0,13.0,20.0,15.0,3.0
36,AUDI RS4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,L2,8ADXV04.2375,small car,6.0,12.0,19.0,14.0,2.0
37,AUDI S4,4.2,8,Man-6,4WD,Gasoline,L2,8ADXV04.2355,small car,6.0,13.0,20.0,15.0,3.0
38,AUDI S4,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXV04.2355,small car,6.0,14.0,21.0,16.0,4.0
39,AUDI S4 Avant,4.2,8,Man-6,4WD,Gasoline,L2,8ADXV04.2355,station wagon,6.0,13.0,20.0,15.0,3.0
40,AUDI S4 Avant,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXV04.2355,station wagon,6.0,14.0,21.0,16.0,4.0
41,AUDI S4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,L2,8ADXV04.2355,small car,6.0,13.0,19.0,15.0,3.0
42,AUDI S4 Cabriolet,4.2,8,Auto-S6,4WD,Gasoline,L2,8ADXV04.2355,small car,6.0,14.0,21.0,16.0,4.0
43,AUDI S5,4.2,8,Man-6,4WD,Gasoline,L2,8ADXV04.2365,small car,6.0,14.0,21.0,16.0,4.0
44,AUDI S6,5.2,10,Auto-S6,4WD,Gasoline,L2,8ADXV05.2385,midsize car,6.0,14.0,19.0,16.0,4.0
45,AUDI S8,5.2,10,Auto-S6,4WD,Gasoline,L2,8ADXV05.2385,midsize car,6.0,13.0,19.0,15.0,3.0
46,AUDI TT Coupe,2.0,4,Auto-S6,2WD,Gasoline,U2,8ADXV02.0366,small car,7.0,23.0,31.0,26.0,8.0
47,AUDI TT Coupe,3.2,6,Man-6,4WD,Gasoline,L2,8VWXV03.2535,small car,6.0,17.0,24.0,19.0,5.0
48,AUDI TT Coupe,3.2,6,Auto-S6,4WD,Gasoline,L2,8VWXV03.2535,small car,6.0,18.0,24.0,20.0,6.0
49,AUDI TT Roadster,2.0,4,Auto-S6,2WD,Gasoline,U2,8ADXV02.0366,small car,7.0,22.0,29.0,25.0,7.0
50,AUDI TT Roadster,3.2,6,Man-6,4WD,Gasoline,L2,8VWXV03.2535,small car,6.0,17.0,24.0,19.0,5.0
51,AUDI TT Roadster,3.2,6,Auto-S6,4WD,Gasoline,L2,8VWXV03.2535,small car,6.0,18.0,24.0,20.0,6.0
52,BENTLEY Arnage,6.7,8,Auto-S6,2WD,Gasoline,L2,8BEXV06.7TTC,large car,6.0,9.0,15.0,11.0,0.0
53,BENTLEY Arnage,6.7,8,Auto-S6,2WD,Gasoline,L2,8BEXV06.7TTC,midsize car,6.0,10.0,15.0,11.0,0.0
54,BENTLEY Azure,6.7,8,Auto-S6,2WD,Gasoline,L2,8BEXV06.7TTC,small car,6.0,9.0,15.0,11.0,0.0
55,BENTLEY Continental Flying Spur,6.0,12,Auto-S6,4WD,Gasoline,L2,8BEXV06.0501,midsize car,6.0,10.0,17.0,12.0,0.0
56,BENTLEY Continental GT,6.0,12,Auto-S6,4WD,Gasoline,L2,8BEXV06.0501,small car,6.0,10.0,17.0,13.0,1.0
57,BENTLEY Continental GTC,6.0,12,Auto-S6,4WD,Gasoline,L2,8BEXV06.0501,small car,6.0,10.0,17.0,12.0,0.0
58,BMW 328ci,3.0,6,Man-6,2WD,Gasoline,S2,8BMXV03.0N51,small car,9.5,20.0,30.0,24.0,7.0
59,BMW 328ci,3.0,6,Auto-S6,2WD,Gasoline,S2,8BMXV03.0N51,small car,9.5,23.0,31.0,25.0,7.0
60,BMW 328ci,3.0,6,Man-6,2WD,Gasoline,U2,8BMXB03.0N52,small car,7.0,20.0,30.0,24.0,7.0
61,BMW 328ci,3.0,6,Auto-S6,2WD,Gasoline,U2,8BMXB03.0N52,small car,7.0,23.0,31.0,25.0,7.0
62,BMW 328ci Convertible,3.0,6,Man-6,2WD,Gasoline,S2,8BMXV03.0N51,small car,9.5,19.0,29.0,22.0,6.0
63,BMW 328ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,S2,8BMXV03.0N51,small car,9.5,20.0,30.0,24.0,7.0
64,BMW 328ci Convertible,3.0,6,Man-6,2WD,Gasoline,U2,8BMXB03.0N52,small car,7.0,19.0,29.0,22.0,6.0
65,BMW 328ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,U2,8BMXB03.0N52,small car,7.0,20.0,30.0,24.0,7.0
66,BMW 328cxi,3.0,6,Auto-S6,4WD,Gasoline,S2,8BMXV03.0N51,small car,9.5,20.0,27.0,23.0,7.0
67,BMW 328cxi,3.0,6,Man-6,4WD,Gasoline,U2,8BMXB03.0N52,small car,7.0,19.0,28.0,22.0,6.0
68,BMW 328cxi,3.0,6,Auto-S6,4WD,Gasoline,U2,8BMXB03.0N52,small car,7.0,20.0,27.0,23.0,7.0
69,BMW 328i,3.0,6,Man-6,2WD,Gasoline,S2,8BMXV03.0N51,small car,9.5,20.0,30.0,24.0,7.0
70,BMW 328i,3.0,6,Auto-S6,2WD,Gasoline,S2,8BMXV03.0N51,small car,9.5,23.0,31.0,25.0,7.0
71,BMW 328i,3.0,6,Man-6,2WD,Gasoline,U2,8BMXB03.0N52,small car,7.0,20.0,30.0,24.0,7.0
72,BMW 328i,3.0,6,Auto-S6,2WD,Gasoline,U2,8BMXB03.0N52,small car,7.0,23.0,31.0,25.0,7.0
73,BMW 328i Sport Wagon,3.0,6,Man-6,2WD,Gasoline,U2,8BMXB03.0N52,station wagon,7.0,19.0,29.0,22.0,6.0
74,BMW 328xi,3.0,6,Auto-S6,4WD,Gasoline,S2,8BMXV03.0N51,small car,9.5,20.0,27.0,23.0,7.0
75,BMW 328xi,3.0,6,Man-6,4WD,Gasoline,U2,8BMXB03.0N52,small car,7.0,19.0,28.0,22.0,6.0
76,BMW 328xi,3.0,6,Auto-S6,4WD,Gasoline,U2,8BMXB03.0N52,small car,7.0,20.0,27.0,23.0,7.0
77,BMW 328xi Sport Wagon,3.0,6,Man-6,4WD,Gasoline,U2,8BMXB03.0N52,station wagon,7.0,19.0,28.0,22.0,6.0
78,BMW 328xi Sport Wagon,3.0,6,Auto-S6,4WD,Gasoline,U2,8BMXB03.0N52,station wagon,7.0,20.0,27.0,23.0,7.0
79,BMW 335ci,3.0,6,Man-6,2WD,Gasoline,L2,8BMXV03.0N54,small car,6.0,19.0,28.0,22.0,6.0
80,BMW 335ci,3.0,6,Auto-S6,2WD,Gasoline,L2,8BMXV03.0N54,small car,6.0,20.0,28.0,23.0,7.0
81,BMW 335ci Convertible,3.0,6,Man-6,2WD,Gasoline,L2,8BMXV03.0N54,small car,6.0,19.0,28.0,22.0,6.0
82,BMW 335ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,L2,8BMXV03.0N54,small car,6.0,20.0,28.0,23.0,7.0
83,BMW 335cxi,3.0,6,Man-6,4WD,Gasoline,L2,8BMXV03.0N54,small car,6.0,18.0,27.0,21.0,6.0
84,BMW 335cxi,3.0,6,Auto-S6,4WD,Gasoline,L2,8BMXV03.0N54,small car,6.0,19.0,27.0,22.0,6.0
85,BMW 335i,3.0,6,Man-6,2WD,Gasoline,L2,8BMXV03.0N54,small car,6.0,19.0,28.0,22.0,6.0
86,BMW 335i,3.0,6,Auto-S6,2WD,Gasoline,L2,8BMXV03.0N54,small car,6.0,20.0,28.0,23.0,7.0
87,BMW 335xi,3.0,6,Man-6,4WD,Gasoline,L2,8BMXV03.0N54,small car,6.0,18.0,27.0,21.0,6.0
88,BMW 335xi,3.0,6,Auto-S6,4WD,Gasoline,L2,8BMXV03.0N54,small car,6.0,19.0,27.0,22.0,6.0
89,BMW 528i,3.0,6,Auto-S6,2WD,Gasoline,U2,8BMXB03.0N52,midsize car,7.0,20.0,30.0,24.0,7.0
90,BMW 528i,3.0,6,Man-6,2WD,Gasoline,U2,8BMXB03.0N52,midsize car,7.0,20.0,30.0,24.0,7.0
91,BMW 528xi,3.0,6,Man-6,4WD,Gasoline,U2,8BMXB03.0N52,midsize car,7.0,19.0,28.0,22.0,6.0
92,BMW 528xi,3.0,6,Auto-S6,4WD,Gasoline,U2,8BMXB03.0N52,midsize car,7.0,20.0,27.0,23.0,7.0
93,BMW 535i,3.0,6,Man-6,2WD,Gasoline,L2,8BMXV03.0N54,midsize car,6.0,19.0,28.0,22.0,6.0
94,BMW 535i,3.0,6,Auto-S6,2WD,Gasoline,L2,8BMXV03.0N54,midsize car,6.0,20.0,28.0,23.0,7.0
95,BMW 535xi,3.0,6,Man-6,4WD,Gasoline,L2,8BMXV03.0N54,midsize car,6.0,18.0,27.0,21.0,6.0
96,BMW 535xi,3.0,6,Auto-S6,4WD,Gasoline,L2,8BMXV03.0N54,midsize car,6.0,19.0,27.0,22.0,6.0
97,BMW 535xi Sport Wagon,3.0,6,Man-6,4WD,Gasoline,L2,8BMXV03.0N54,station wagon,6.0,17.0,25.0,20.0,6.0
98,BMW 535xi Sport Wagon,3.0,6,Auto-S6,4WD,Gasoline,L2,8BMXV03.0N54,station wagon,6.0,18.0,26.0,21.0,6.0
99,BMW 550i,4.8,8,Man-6,2WD,Gasoline,U2,8BMXV04.8UL2,midsize car,7.0,17.0,24.0,19.0,5.0
100,BMW 550i,4.8,8,Auto-S6,2WD,Gasoline,U2,8BMXV04.8UL2,midsize car,7.0,17.0,25.0,20.0,6.0
101,BMW 650ci,4.8,8,Man-6,2WD,Gasoline,U2,8BMXV04.8UL2,small car,7.0,17.0,24.0,19.0,5.0
102,BMW 650ci,4.8,8,Auto-S6,2WD,Gasoline,U2,8BMXV04.8UL2,small car,7.0,17.0,25.0,20.0,6.0
103,BMW 650ci Convertible,4.8,8,Man-6,2WD,Gasoline,U2,8BMXV04.8UL2,small car,7.0,16.0,22.0,18.0,5.0
104,BMW 650ci Convertible,4.8,8,Auto-S6,2WD,Gasoline,U2,8BMXV04.8UL2,small car,7.0,17.0,25.0,20.0,6.0
105,BMW 750i,4.8,8,Auto-S6,2WD,Gasoline,U2,8BMXV04.8UL2,large car,7.0,17.0,25.0,20.0,6.0
106,BMW 750li,4.8,8,Auto-S6,2WD,Gasoline,U2,8BMXV04.8UL2,large car,7.0,17.0,25.0,20.0,6.0
107,BMW 760li,6.0,12,Auto-S6,2WD,Gasoline,L2,8BMXV06.0LE2,large car,6.0,14.0,22.0,17.0,4.0
108,BMW Alpina B7,4.4,8,Auto-S6,2WD,Gasoline,L2,8ABBV04.4H10,large car,6.0,15.0,23.0,18.0,5.0
109,BMW M5,5.0,10,Man-6,2WD,Gasoline,L2,8BMXV05.0S85,midsize car,6.0,12.0,18.0,14.0,2.0
110,BMW M5,5.0,10,Auto-S7,2WD,Gasoline,L2,8BMXV05.0S85,midsize car,6.0,12.0,18.0,14.0,2.0
111,BMW M6,5.0,10,Man-6,2WD,Gasoline,L2,8BMXV05.0S85,small car,6.0,12.0,18.0,14.0,2.0
112,BMW M6,5.0,10,Auto-S7,2WD,Gasoline,L2,8BMXV05.0S85,small car,6.0,12.0,18.0,14.0,2.0
113,BMW M6 Convertible,5.0,10,Man-6,2WD,Gasoline,L2,8BMXV05.0S85,small car,6.0,12.0,18.0,14.0,2.0
114,BMW M6 Convertible,5.0,10,Auto-S7,2WD,Gasoline,L2,8BMXV05.0S85,small car,6.0,12.0,19.0,14.0,2.0
115,BMW X3,3.0,6,Man-6,4WD,Gasoline,U2,8BMXB03.0N52,SUV,7.0,18.0,26.0,21.0,6.0
116,BMW X3,3.0,6,Auto-S6,4WD,Gasoline,U2,8BMXB03.0N52,SUV,7.0,19.0,26.0,22.0,6.0
117,BMW X5,3.0,6,Auto-S6,4WD,Gasoline,U2,8BMXT03.0E70,SUV,7.0,17.0,23.0,19.0,5.0
118,BMW X5,4.8,8,Auto-S6,4WD,Gasoline,U2,8BMXT04.8E70,SUV,7.0,15.0,21.0,17.0,4.0
119,BMW Z4,3.0,6,Man-6,2WD,Gasoline,U2,8BMXB03.0N52,small car,7.0,20.0,30.0,24.0,7.0
120,BMW Z4,3.0,6,Auto-S6,2WD,Gasoline,U2,8BMXB03.0N52,small car,7.0,23.0,31.0,25.0,7.0
121,BMW Z4 Coupe,3.0,6,Man-6,2WD,Gasoline,U2,8BMXB03.0N52,small car,7.0,20.0,30.0,24.0,7.0
122,BMW Z4 Coupe,3.0,6,Auto-S6,2WD,Gasoline,U2,8BMXB03.0N52,small car,7.0,23.0,31.0,25.0,7.0
123,BUGATTI Veyron,8.0,16,Auto-S6,4WD,Gasoline,L2,8BGTV08.0V16,small car,6.0,8.0,14.0,10.0,0.0
124,BUICK Allure,3.8,6,Auto-L4,2WD,Gasoline,SLEV,8GMXV03.8044,midsize car,9.5,17.0,28.0,21.0,6.0
125,BUICK Allure,3.6,6,Auto-L4,2WD,Gasoline,L2,8GMXV03.6041,midsize car,6.0,17.0,25.0,20.0,6.0
126,BUICK Allure,5.3,8,Auto-L4,2WD,Gasoline,L2,8GMXV05.3084,midsize car,6.0,16.0,25.0,19.0,5.0
127,BUICK Enclave,3.6,6,Auto-L6,2WD,Gasoline,L2,8GMXT03.6151,SUV,6.0,16.0,24.0,19.0,5.0
128,BUICK Enclave,3.6,6,Auto-L6,4WD,Gasoline,L2,8GMXT03.6151,SUV,6.0,16.0,22.0,18.0,5.0
129,BUICK LaCrosse,3.8,6,Auto-L4,2WD,Gasoline,SLEV,8GMXV03.8044,midsize car,9.5,17.0,28.0,21.0,6.0
130,BUICK LaCrosse,3.6,6,Auto-L4,2WD,Gasoline,L2,8GMXV03.6041,midsize car,6.0,17.0,25.0,20.0,6.0
131,BUICK LaCrosse,5.3,8,Auto-L4,2WD,Gasoline,L2,8GMXV05.3084,midsize car,6.0,16.0,25.0,19.0,5.0
132,BUICK Lucerne,3.8,6,Auto-L4,2WD,Gasoline,SLEV,8GMXV03.8044,large car,9.5,16.0,25.0,19.0,5.0
133,BUICK Terraza,3.9,6,Auto-L4,2WD,Gasoline,L2,8GMXB03.9142,minivan,6.0,16.0,23.0,19.0,5.0
134,CADILLAC CTS,3.6,6,Man-6,2WD,Gasoline,L2,8GMXV03.6053,midsize car,6.0,16.0,25.0,19.0,5.0
135,CADILLAC CTS,3.6,6,Man-6,2WD,Gasoline,L2,8GMXB03.6148,midsize car,6.0,16.0,25.0,19.0,5.0
136,CADILLAC CTS,3.6,6,Auto-S6,4WD,Gasoline,L2,8GMXB03.6148,midsize car,6.0,17.0,25.0,20.0,6.0
137,CADILLAC CTS,3.6,6,Auto-S6,4WD,Gasoline,L2,8GMXV03.6053,midsize car,6.0,17.0,26.0,20.0,6.0
138,CADILLAC CTS,3.6,6,Auto-S6,2WD,Gasoline,L2,8GMXV03.6053,midsize car,6.0,17.0,26.0,20.0,6.0
139,CADILLAC CTS,3.6,6,Auto-S6,2WD,Gasoline,L2,8GMXB03.6148,midsize car,6.0,18.0,26.0,21.0,6.0
140,CADILLAC Escalade,6.2,8,Auto-L6,2WD,Gasoline,L2,8GMXT06.2382,SUV,6.0,12.0,19.0,14.0,2.0
141,CADILLAC Escalade,6.2,8,Auto-L6,4WD,Gasoline,L2,8GMXT06.2382,SUV,6.0,12.0,18.0,14.0,2.0
142,CADILLAC SRX,3.6,6,Auto-S5,2WD,Gasoline,L2,8GMXB03.6148,SUV,6.0,15.0,22.0,17.0,4.0
143,CADILLAC SRX,3.6,6,Auto-S5,4WD,Gasoline,L2,8GMXB03.6148,SUV,6.0,14.0,22.0,17.0,4.0
144,CADILLAC SRX,4.6,8,Auto-S6,2WD,Gasoline,L2,8GMXB04.6167,SUV,6.0,13.0,20.0,16.0,4.0
145,CADILLAC SRX,4.6,8,Auto-S6,4WD,Gasoline,L2,8GMXB04.6167,SUV,6.0,13.0,20.0,15.0,3.0
146,CADILLAC STS,3.6,6,Auto-S6,4WD,Gasoline,L2,8GMXV03.6053,midsize car,6.0,17.0,26.0,20.0,6.0
147,CADILLAC STS,3.6,6,Auto-S6,2WD,Gasoline,L2,8GMXV03.6053,midsize car,6.0,17.0,26.0,20.0,6.0
148,CADILLAC STS,4.4,8,Auto-S6,2WD,Gasoline,L2,8GMXB04.6167,midsize car,6.0,13.0,19.0,15.0,3.0
149,CADILLAC STS,4.6,8,Auto-S6,4WD,Gasoline,L2,8GMXB04.6167,midsize car,6.0,14.0,21.0,16.0,4.0
150,CADILLAC STS,4.6,8,Auto-S6,2WD,Gasoline,L2,8GMXB04.6167,midsize car,6.0,15.0,24.0,18.0,5.0
151,CADILLAC XLR,4.4,8,Auto-S6,2WD,Gasoline,L2,8GMXB04.6167,small car,6.0,14.0,21.0,16.0,4.0
152,CADILLAC XLR,4.6,8,Auto-S6,2WD,Gasoline,L2,8GMXB04.6167,small car,6.0,15.0,24.0,18.0,5.0
153,CHEVROLET Classic,3.5,6,Auto-L4,2WD,Gasoline,U2,8GMXV03.5043,midsize car,7.0,18.0,28.0,22.0,6.0
154,CHEVROLET Classic,2.2,4,Auto-L4,2WD,Gasoline,L2,8GMXV02.2028,midsize car,6.0,21.0,31.0,25.0,7.0
155,CHEVROLET Cobalt,2.2,4,Auto-L4,2WD,Gasoline,SLEV,8GMXV02.2030,small car,9.5,22.0,31.0,26.0,8.0
156,CHEVROLET Cobalt,2.2,4,Man-5,2WD,Gasoline,SLEV,8GMXV02.2030,small car,9.5,24.0,33.0,27.0,8.0
157,CHEVROLET Cobalt,2.2,4,Auto-L4,2WD,Gasoline,L2,8GMXV02.4025,small car,6.0,22.0,31.0,26.0,8.0
158,CHEVROLET Cobalt,2.2,4,Man-5,2WD,Gasoline,L2,8GMXV02.4025,small car,6.0,24.0,33.0,27.0,8.0
159,CHEVROLET Cobalt,2.4,4,Auto-L4,2WD,Gasoline,L2,8GMXV02.4025,small car,6.0,22.0,31.0,25.0,7.0
160,CHEVROLET Cobalt,2.4,4,Man-5,2WD,Gasoline,L2,8GMXV02.4025,small car,6.0,22.0,32.0,26.0,8.0
161,CHEVROLET Corvette,7.0,8,Man-6,2WD,Gasoline,L2,8GMXV07.0085,small car,6.0,15.0,24.0,18.0,5.0
162,CHEVROLET Equinox,3.4,6,Auto-L5,2WD,Gasoline,U2,8GMXB03.8146,SUV,7.0,17.0,24.0,19.0,5.0
163,CHEVROLET Equinox,3.4,6,Auto-L5,4WD,Gasoline,U2,8GMXB03.8146,SUV,7.0,17.0,24.0,19.0,5.0
164,CHEVROLET Equinox,3.6,6,Auto-S6,2WD,Gasoline,L2,8GMXB03.6148,SUV,6.0,16.0,24.0,19.0,5.0
165,CHEVROLET Equinox,3.6,6,Auto-S6,4WD,Gasoline,L2,8GMXB03.6148,SUV,6.0,16.0,24.0,19.0,5.0
166,CHEVROLET Express 1500,5.3,8,Auto-L4,4WD,Gasoline,L2,8GMXT05.3384,van,6.0,12.0,16.0,14.0,2.0
167,CHEVROLET Express 1500,5.3,8,Auto-L4,2WD,Gasoline,L2,8GMXT05.3384,van,6.0,12.0,16.0,14.0,2.0
168,CHEVROLET Express 2500,5.3,8,Auto-L4,2WD,Gasoline,L2,8GMXT05.3384,van,6.0,12.0,16.0,14.0,2.0
